# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals
stackingDifferentPairsOfSameValue202AL,76,0,0,0,47,71.8961038961039,0.7908355795148247,388,36,55.65217391304348,0.4297520661157025,207,76,29.125,0.7317403065825068,595
stackUtensilsVehicles2AL,65,0,0,0,54,55.66086956521739,0.8585780525502318,183,12,36,0.7916666666666666,15,65,25.66914498141264,0.8550512445095169,198
stackMultiStickInMultiSlot1To52AL,63,0,0,0,36,162.08695652173913,0.8860278598564796,270,25,72.27586206896552,0.8329411764705882,71,63,57.489177489177486,0.8779527559055118,341
simpleIdentificationFruitsSet1,57,0,0,0,42,63.84,0.9163150492264416,119,24,42.88235294117647,0.782608695652174,40,57,25.88118811881188,0.9009962640099627,159
matchActivitiesWithObject2AL,61,0,0,0,25,123.95833333333333,0.8303249097472925,282,27,55.254901960784316,0.8206039076376554,101,61,35.354838709677416,0.8278651685393258,383
mergeNumberUpTo9WithBAsTwoAL,51,0,0,0,27,102.96666666666667,0.8832159624413145,199,26,109.85,0.5926412614980289,310,51,47.83710407239819,0.7935091277890467,509
simpleIdentifyApparelAndStationery2AL,47,0,0,0,38,38.51315789473684,0.943109987357775,45,9,33.55555555555556,0.7906976744186046,9,47,18.451428571428572,0.935251798561151,54
fractionMultiplication6AL,49,0,0,0,30,71.15853658536585,0.7157509157509158,388,12,22.8,0.6086956521739131,36,49,26.799163179916317,0.7089910775566232,424
smallBigFrom1To99NumbersAL,44,0,0,0,20,69.94444444444444,0.7811594202898551,151,23,29.235294117647058,0.7638888888888888,17,44,23.04830917874396,0.7795275590551181,168
subtractionMissingAUpTo20AL,38,0,0,0,27,87.83561643835617,0.7229660144181257,269,7,45,0.7692307692307693,3,38,37.41436464088398,0.7235772357723578,272
sortRedGreenYellowWhiteBlackGray2AL,32,0,0,0,27,43.71153846153846,0.8495726495726496,88,3,85,0.8,5,32,21.79310344827586,0.8475409836065574,93
introducingStackingInSlot,31,0,0,0,29,4.061224489795919,1,0,1,21,0,0,31,2.1782178217821784,1,0
writeLevelSimpleLine,26,0,0,0,17,25.466666666666665,0,0,9,41,0,0,26,14.387096774193548,0,0
writeLevelSimpleLine2AL,25,0,0,0,22,25.975609756097562,0,0,5,15.285714285714286,0,0,25,11.959183673469388,0,0
numbersFrom500To999AL,30,0,0,0,5,90.45454545454545,0.8125,51,14,70.75,0.40401785714285715,267,30,30.060606060606062,0.5583333333333333,318
matrixMultiplicationRandomNumbers3AL,26,0,0,0,12,143.90625,0.5441055234954658,553,10,99.3,0.40217391304347827,110,26,60.193548387096776,0.525411596277738,663
matchShapesByObjects2AL,24,0,0,0,21,68.09756097560975,0.8487031700288185,105,2,56,0.6363636363636364,8,24,33,0.8421787709497207,113
simpleIdentificationFruitsSet3,24,0,0,0,16,73.72972972972973,0.8864970645792564,58,7,37.375,0.7631578947368421,9,24,29.97029702970297,0.8779599271402551,67
summarizeTheSentences1AL,24,0,0,0,13,55.77272727272727,0.7457627118644068,120,10,32.411764705882355,0.46875,17,24,21.464285714285715,0.7281746031746031,137
dataHandlingIconsBirdsAnimals2AL,23,0,0,0,20,32.72222222222222,0.8365122615803815,60,3,20.333333333333332,0.6666666666666666,1,23,15.758620689655173,0.8351351351351352,61
matchBasicShapeTiles,21,0,0,0,12,150.0344827586207,0.8528995756718529,104,10,50.72727272727273,0.8725490196078431,13,21,51.67368421052632,0.8553770086526576,117
simpleIdentificationVegetablesSet1,20,0,0,0,18,88.38888888888889,0.8907692307692308,71,5,61.2,0.8352941176470589,14,20,37.94,0.8843537414965986,85
matchAudioByColorSet1,23,0,0,0,9,119.4375,0.7180451127819549,150,10,35.90909090909091,0.6178861788617886,47,23,29.043010752688172,0.6992366412213741,197
simpleIdentificationFoodOverall,21,0,0,0,17,42.97435897435897,0.9026315789473685,37,4,53.75,0.7560975609756098,10,21,20.554347826086957,0.8883610451306413,47
matchIntroOne,20,0,0,0,20,5.818181818181818,1,0,1,4,0,0,20,2.7755102040816326,1,0
missingBRandomAAndB50To99AL,17,0,0,0,16,59.93103448275862,0.7597911227154047,92,5,30.333333333333332,0.6666666666666666,12,17,25.6,0.7517899761336515,104
writeLevel1To52AL,19,0,0,0,18,51.26470588235294,0,0,1,21,0,0,19,24.5,0,0
stackTensAndOnes20UpTo502AL,17,0,0,0,16,118.05555555555556,0.8364073777064955,204,0,0,0,0,17,53.79746835443038,0.8364073777064955,204
matchMusicalInstrumentsIndian,15,0,0,0,10,55.7,0.8203125,46,7,31.666666666666668,0.6851851851851852,17,15,21.652173913043477,0.7967741935483871,63
stackDomesticAndWildAnimal,17,0,0,0,8,143.53333333333333,0.833904109589041,97,7,43.875,0.7931034482758621,12,17,50.08,0.8302180685358256,109
matchCountNumber1To3,15,0,0,0,6,169.86666666666667,0.6681318681318681,151,10,69.33333333333333,0.7978723404255319,19,15,59.29824561403509,0.6903460837887068,170
matchAudioByColorSet3And4,16,0,0,0,9,76.05555555555556,0.6486486486486487,169,4,73,0.35135135135135137,72,16,31.864406779661017,0.5929054054054054,241
patternBasicFruits,14,0,0,0,3,87.5,0.9378531073446328,11,11,57.642857142857146,0.8557692307692307,30,14,27.75,0.8935064935064935,41
introPatternExample,12,0,0,0,11,18.583333333333332,0.7843137254901961,11,2,4.5,0,0,12,8,0.7843137254901961,11
matchCountAudio7To9,12,0,0,0,8,99.81818181818181,0.5933333333333334,183,5,56,0.5869565217391305,19,12,41.266666666666666,0.592741935483871,202
smallBigUpTo50Number2AL,13,0,0,0,11,59.851851851851855,0.752906976744186,85,1,60,0.75,2,13,28.406779661016948,0.7528409090909091,87
stackVegetablesAndFruitsSet1,12,0,0,0,7,178.38888888888889,0.7132352941176471,117,6,34.75,0.55,18,12,61.21052631578947,0.6986607142857143,135
matchTopBottomFirst,11,0,0,0,4,104.28571428571429,0.7894736842105263,28,9,16.8,0.7906976744186046,9,11,24.944444444444443,0.7897727272727273,37
matchEdgesCorners22AL,11,0,0,0,11,61.26086956521739,0.6504559270516718,115,1,84,0.6428571428571429,5,11,31.104166666666668,0.6501457725947521,120
sortMusicalInstruments,14,0,0,0,5,80.3076923076923,0.8560975609756097,59,4,15.6,0.9473684210526315,1,14,23.375,0.8601398601398601,60
moneyComposition1And2ForNumbers,10,0,0,0,6,103.23529411764706,0.7196765498652291,104,5,67.85714285714286,0.7068965517241379,17,10,42.88461538461539,0.717948717948718,121
dataHandlingMatchCountGroupedFruits,10,0,0,0,4,55,0.9577464788732394,3,6,42,0.7777777777777778,4,10,24.466666666666665,0.9213483146067416,7
fillSubtractionStaticB3UpTo52AL,10,0,0,0,8,31.27777777777778,0.9316239316239316,8,1,23,0,0,10,15.025641025641026,0.9316239316239316,8
placeValueMatrix1AL,10,0,0,0,8,56.24,0.8224489795918367,87,1,18,0,7,10,24.982456140350877,0.8108651911468813,94
recognizingBigSmallWithAudio,10,0,0,0,4,63,0.706766917293233,39,5,37.8,0.5111111111111111,22,10,23.333333333333332,0.6573033707865169,61
reviseDivideTable8And9AL,9,0,0,0,8,92.17647058823529,0.8256658595641646,72,2,47.5,0.4444444444444444,5,9,41.55,0.8175355450236966,77
stackRectangleAndTriangle,10,0,0,0,7,128.86666666666667,0.8997912317327766,48,2,71,0.8888888888888888,4,10,46.111111111111114,0.8990291262135922,52
givenSmartChartScale6AL,9,0,0,0,5,78.9,0.8653846153846154,28,4,189,0.35714285714285715,27,9,54.1875,0.78,55
groupAdditionOf5AL,9,0,0,0,8,86.73333333333333,0.7035830618892508,91,1,19,1,0,9,38.8235294117647,0.7064516129032258,91
matchColorTilesOne,9,0,0,0,3,87.5,0.89171974522293,17,6,22.166666666666668,0.8518518518518519,4,9,30.545454545454547,0.8858695652173914,21
matchCornersOfObjects,9,0,0,0,6,47.51851851851852,0.8455284552845529,57,3,81,0.425,23,9,23.476923076923075,0.80440097799511,80
patternBasicFoods2AL,9,0,0,0,8,62.64705882352941,0.8550295857988166,49,1,9,0.8,1,9,29.027027027027028,0.8542274052478134,50
reviseMatchLinesWithObject,9,0,0,0,5,115.66666666666667,0.9488372093023256,11,4,85.75,0.631578947368421,7,9,47.724137931034484,0.9230769230769231,18
maskPattern,8,0,0,0,5,60.76,0.8217522658610272,118,4,47.5,0.6415094339622641,19,8,28.966101694915253,0.8083916083916084,137
simpleIdentificationAnimalsOverall,8,0,0,0,8,77.2,0.9257142857142857,26,1,31.5,1,0,8,29.78048780487805,0.9273743016759777,26
simpleIdentificationAnimalsSet3,8,0,0,0,5,81.8,0.8521400778210116,38,4,95.2,0.8717948717948718,10,8,39.21212121212121,0.8567164179104477,48
matchMirrorImage,8,0,0,0,6,35,0.6753246753246753,50,2,30,0.5,6,8,17.142857142857142,0.6626506024096386,56
sortingIntroducedCategories,8,0,0,0,7,74.06666666666666,0.8029739776951673,53,1,1,0,0,8,29.263157894736842,0.8029739776951673,53
countWithSingleStick1To3,8,0,0,0,3,82.71428571428571,0.8689655172413793,19,4,34.2,0.6774193548387096,10,8,27.77777777777778,0.8352272727272727,29
cowBananaTable4AL,8,0,0,0,6,44.25,0.8759124087591241,17,1,7,1,0,8,19.925925925925927,0.8776978417266187,17
numberDiceMatching2AL,8,0,0,0,6,41.25,0.8285714285714286,24,1,15,1,0,8,18.88888888888889,0.8309859154929577,24
simpleIdentificationVegetablesSet3,8,0,0,0,5,96.5,0.8431372549019608,32,2,56,0.9259259259259259,2,8,41.42307692307692,0.8528138528138528,34
sortBirdsAndAnimalsInsectsAquatic,7,0,0,0,5,152.16666666666666,0.8512396694214877,72,3,62.6,0.7261904761904762,23,7,54.84615384615385,0.8327464788732394,95
orderUpToThreeNumber,7,0,0,0,5,44,0.8434782608695652,18,2,19.333333333333332,1,0,7,18.3125,0.8512396694214877,18
simpleIdentificationOfLines,7,0,0,0,6,139.6,0.8,69,1,170,0.5,15,7,64.29629629629629,0.776,84
patternWithEmptyAndFilledShapes,7,0,0,0,4,76.875,0.8450704225352113,33,2,133,0.6119402985074627,26,7,40.04545454545455,0.7892857142857143,59
simpleIdentificationToysOverall,6,0,0,0,6,48,0.9295774647887324,10,1,105,0.6666666666666666,2,6,25.9,0.918918918918919,12
matchAudioNumber1To3,6,0,0,0,1,113.5,0.75,10,5,92,0.4909090909090909,28,6,42.9375,0.6,38
mergeAndMatchTensAndOnesUpTo50,7,0,0,0,0,0,0,0,5,167.4,0.13736263736263737,157,7,59.785714285714285,0.13736263736263737,157
orderUpToNineAudio,6,0,0,0,3,38,0.5978260869565217,37,3,799.6666666666666,0.375,25,6,138.26315789473685,0.5303030303030303,62
descendingOrdering1to999by50AL,6,0,0,0,3,79.83333333333333,0.8613861386138614,14,2,64.5,0.05263157894736842,36,6,35.76470588235294,0.6402877697841727,50
introducingZero,6,0,0,0,5,12,0.625,6,0,0,0,0,6,5.454545454545454,0.625,6
matchFractionWithImage4AL,5,0,0,0,5,62.55555555555556,0.8653846153846154,21,1,19,1,0,5,29.1,0.8695652173913043,21
understandingMorningAndEveningActivity,6,0,0,0,3,20.875,0.9310344827586207,4,2,13,0,7,6,8.772727272727273,0.8307692307692308,11
additionWithZeroUpTo9,6,0,0,0,2,38,0.8043478260869565,9,2,56,0.7894736842105263,4,6,17.625,0.8,13
between0To20Transition,5,0,0,0,4,56.36363636363637,0.8284023668639053,29,1,3,0,0,5,24.92,0.8284023668639053,29
dataHandling1DWithTextData,5,0,0,0,3,130.2,0.7422680412371134,50,2,48,0.8,3,5,49.8,0.7464114832535885,53
greaterSmallerUpTo999OperatorsAL,5,0,0,0,2,69.33333333333333,1,0,3,32,0.75,4,5,23.384615384615383,0.9090909090909091,4
introducingMerge1With1,5,0,0,0,5,14,0.5263157894736842,9,0,0,0,0,5,7,0.5263157894736842,9
matchDaysWithWeekMonthYear,5,0,0,0,5,17.5,0.7636363636363637,13,0,0,0,0,5,8.75,0.7636363636363637,13
mergeCount1To3,6,0,0,0,1,106.5,1,0,3,113.6,0.782051282051282,17,6,48.8125,0.8866666666666667,17
patternBasicAnimals,6,0,0,0,3,123.5,0.8354430379746836,26,1,91,0.1875,13,6,36.5625,0.7758620689655172,39
patternWithRotatedEmptyShapes,5,0,0,0,4,66.75,0.7526315789473684,47,1,119,0.4230769230769231,15,5,36.27777777777778,0.7129629629629629,62
simpleIdentificationFruitsSet2,5,0,0,0,3,60.8,0.9347826086956522,6,2,33.5,0.9333333333333333,1,5,24.733333333333334,0.9345794392523364,7
stackLivingAndNonLivingThings,5,0,0,0,4,154.71428571428572,0.793918918918919,61,1,3,0,0,5,60.333333333333336,0.793918918918919,61
vesselArrangement,5,0,0,0,3,72.16666666666667,0.7115384615384616,45,2,83,0.8148148148148148,5,5,35.23529411764706,0.726775956284153,50
identifyBirdsAndAnimalsViaAudio,4,0,0,0,4,62.125,0.6551724137931034,60,1,24.25,0.5185185185185185,13,4,23.76,0.6368159203980099,73
matchObjectWithFraction1,5,0,0,0,3,25.285714285714285,0.8,16,1,2,0,0,5,9.944444444444445,0.8,16
matchToiletriesWithAudio,5,0,0,0,3,92,0.6198347107438017,46,1,15,0,0,5,22.529411764705884,0.6198347107438017,46
numberPattern1,5,0,0,0,4,40.125,0.8194444444444444,13,0,0,0,0,5,18.88235294117647,0.8194444444444444,13
orderUpToNineNumber,6,0,0,0,3,53.333333333333336,0.8142857142857143,13,0,0,0,0,6,21.333333333333332,0.8142857142857143,13
recognizingAquaticAnimalsWithAudio,4,0,0,0,2,60.666666666666664,0.5915492957746479,29,3,41.142857142857146,0.38636363636363635,54,4,18.076923076923077,0.4779874213836478,83
simpleIdentificationAnimalsSet4,4,0,0,0,3,94.33333333333333,0.8787878787878788,12,2,32.53846153846154,0.8412698412698413,10,4,18.102564102564102,0.8641975308641975,22
stackVegetablesAndFruitsSet3,5,0,0,0,4,137.6,0.6208053691275168,113,0,0,0,0,5,62.54545454545455,0.6208053691275168,113
additionTable1,4,0,0,0,1,559,0.26851851851851855,79,3,82,0.84,4,4,89.44444444444444,0.37593984962406013,83
additionTensAndOnes50,5,0,0,0,3,85.8,0.7638888888888888,17,0,0,0,0,5,33,0.7638888888888888,17
orderBasedOnWeightSameObject,3,0,0,0,3,40.833333333333336,0.7615384615384615,93,2,20.5,0.5,10,3,18.90740740740741,0.748780487804878,103
orderDays,4,0,0,0,2,116.5,0.59375,26,2,41,0.6666666666666666,5,4,25.428571428571427,0.6075949367088608,31
patternWithMusicalNotes,4,0,0,0,1,165,0.6829268292682927,26,3,40,0.6857142857142857,11,4,40.90909090909091,0.6837606837606838,37
stackNonLivingThingByCategory,4,0,0,0,3,116.66666666666667,0.8173913043478261,42,1,33,0.5555555555555556,4,4,38.3,0.8075313807531381,46
arrangeLifeSpan,4,0,0,0,2,26.25,0.6888111888111889,89,1,4.5,0,0,4,10.89795918367347,0.6888111888111889,89
ascendingOrderFrom1To99,4,0,0,0,1,85,0.8064516129032258,12,2,30,0.3157894736842105,13,4,25.555555555555557,0.691358024691358,25
fillSlotWithFoodFraction7,4,0,0,0,3,87.28571428571429,0.5270935960591133,288,0,0,0,0,4,40.733333333333334,0.5270935960591133,288
rotateObject1,3,0,0,0,3,88.375,0.622093023255814,65,1,121,0.625,9,3,41.4,0.6224489795918368,74
stackColorTilesOne,3,0,0,0,3,63.5,0.8581560283687943,20,1,5,1,0,3,27.571428571428573,0.8601398601398601,20
beforeAfterOfMonths,3,0,0,0,1,147,0.43478260869565216,26,2,34.5,0.05555555555555555,17,3,30.857142857142858,0.328125,43
capitalSmallPatternText,3,0,0,0,3,101,0.6782608695652174,74,0,0,0,0,3,50.5,0.6782608695652174,74
countLinesGiven3,3,0,0,0,0,0,0,0,3,92.75,0.5384615384615384,12,3,41.22222222222222,0.5384615384615384,12
countMatchUpTo20Again,3,0,0,0,1,70.5,0.8297872340425532,8,2,48.333333333333336,0.5882352941176471,7,3,28.6,0.765625,15
dataHandlingMatrixIntroSpinner,4,0,0,0,1,475,0.7407407407407407,14,1,45,0,5,4,52,0.6779661016949152,19
givenSmartChartScale5,4,0,0,0,2,65.5,0.6818181818181818,35,0,0,0,0,4,23.818181818181817,0.6818181818181818,35
matchAudio0To5Count,3,0,0,0,1,85.5,0.44776119402985076,37,2,147.5,0.2727272727272727,24,3,58.25,0.39,61
matchByOpenClosedShapes,3,0,0,0,3,32.666666666666664,0.7741935483870968,14,0,0,0,0,3,16.333333333333332,0.7741935483870968,14
matchCombinedCurrency1,3,0,0,0,1,40,1,0,2,47.5,0.75,3,3,21.875,0.9090909090909091,3
matchMaskEffectVertical1,3,0,0,0,3,33.166666666666664,0.8313253012048193,14,0,0,0,0,3,16.583333333333332,0.8313253012048193,14
matchRedGreenYellowWithTiles,3,0,0,0,2,56.75,0.9302325581395349,6,1,7,1,0,3,20.083333333333332,0.9318181818181818,6
simpleIdentificationVegetablesSet2,3,0,0,0,1,112,0.7777777777777778,8,2,13,1,0,3,31.25,0.8181818181818182,8
sortBasicShapeTiles,3,0,0,0,2,58.25,0.9696969696969697,3,1,3.5,0,0,3,20,0.9696969696969697,3
writeLevel1To5,3,0,0,0,0,0,0,0,3,69.75,0,0,3,34.875,0,0
analyseTableData4,2,0,0,0,1,54.833333333333336,0.8478260869565217,14,2,109.5,0.4,18,2,34.25,0.7377049180327869,32
identifyEverydayObjectViaAudio,3,0,0,0,2,116.75,0.8538461538461538,19,0,0,0,0,3,51.888888888888886,0.8538461538461538,19
matchAudioByColorSet2,3,0,0,0,1,81.5,0.4838709677419355,48,1,33.333333333333336,0.4838709677419355,16,3,16.4375,0.4838709677419355,64
matchGrayScaleEffect2,3,0,0,0,2,21.5,0.9512195121951219,2,0,0,0,0,3,9.555555555555555,0.9512195121951219,2
patternBasicVegetables,3,0,0,0,1,144.5,0.8723404255319149,12,1,48,0.7777777777777778,2,3,48.142857142857146,0.8640776699029126,14
reviseStackObjectsBasedOnLines,3,0,0,0,1,49,0.9230769230769231,3,1,32,0,8,3,18.571428571428573,0.7659574468085106,11
ssMultiplication31,3,0,0,0,1,457,0.7794117647058824,15,1,5,0,0,3,114.875,0.7794117647058824,15
stackVegetablesAndFruitsSet2,2,0,0,0,1,51.25,0.9230769230769231,4,2,34.6,0.9090909090909091,3,2,17.181818181818183,0.9176470588235294,7
writeLevelExampleIntro,2,0,0,0,2,6.5,0,0,1,4,0,0,2,2.8333333333333335,0,0
additionTable2,2,0,0,0,0,0,0,0,2,4,0,0,2,2,0,0
matchAllShapesWithTiles,2,0,0,0,1,153.25,0.816,23,1,124,0.9,1,2,67,0.8222222222222222,24
matchCountNumber7To9,2,0,0,0,1,66.5,0.75,10,1,92,0.9,1,2,37.5,0.78,11
matchCountNumberRepeat1To10,2,0,0,0,1,28.5,1,0,1,34,1,0,2,15.166666666666666,1,0
matchCurrencyWithCombinedCurrency3,2,0,0,0,1,38,1,0,1,43,0.7647058823529411,4,2,19.833333333333332,0.9024390243902439,4
matchCurrencyWithCombinedCurrency4,2,0,0,0,2,62.4,0.7483443708609272,38,0,0,0,0,2,26,0.7483443708609272,38
matchFractionFullAndHalf,2,0,0,0,1,34.5,0.9230769230769231,2,1,10,1,0,2,13.166666666666666,0.9285714285714286,2
matchGirlsAndBoys,2,0,0,0,1,27.5,1,0,1,18,0.5,1,2,12.166666666666666,0.9545454545454546,1
matchInsideOutsideThird,2,0,0,0,2,96.75,0.76,24,0,0,0,0,2,48.375,0.76,24
matchOnUnderThird,2,0,0,0,2,34.5,0.8,9,0,0,0,0,2,17.25,0.8,9
matchRotateOverall180,2,0,0,0,1,58,0.9166666666666666,3,1,108,1,0,2,37.333333333333336,0.9473684210526315,3
moneyComposition12And5ForNumbers,2,0,0,0,2,32,0.8607594936708861,11,0,0,0,0,2,16,0.8607594936708861,11
moneyCompositionForNumbersMaster,2,0,0,0,0,0,0,0,2,81.33333333333333,0.5294117647058824,32,2,40.666666666666664,0.5294117647058824,32
multiplication3TableAL,2,0,0,0,1,154.5,0.7727272727272727,5,1,33,0.8888888888888888,1,2,57,0.8064516129032258,6
orderActivitiesBasedOnTime,2,0,0,0,0,0,0,0,2,97,0.2894736842105263,27,2,48.5,0.2894736842105263,27
orderBasedOnWeight,2,0,0,0,0,0,0,0,2,26,1,0,2,13,1,0
patternWithHorizontalFlip,2,0,0,0,0,0,0,0,2,49,0.7692307692307693,6,2,24.5,0.7692307692307693,6
sequenceGrowthCorners,2,0,0,0,2,22.333333333333332,0.9,3,0,0,0,0,2,9.571428571428571,0.9,3
simpleIdentificationVegetablesOverall,2,0,0,0,1,149.5,1,0,1,5,0,0,2,50.666666666666664,1,0
ssWithStaticBas2BXMissingUpTo9,2,0,0,0,2,23,1,0,0,0,0,0,2,11.5,1,0
stackRedAndGreenSet1,3,0,0,0,0,0,0,0,1,48,0.2,12,3,12,0.2,12
tensAndOnesAudio80To99,2,0,0,0,2,33.25,0.972972972972973,1,0,0,0,0,2,16.625,0.972972972972973,1
writeComplexLevel,2,0,0,0,2,12,0,0,0,0,0,0,2,6,0,0
between100To999Transition,1,0,0,0,1,60,0.8,3,1,7,1,0,1,16.75,0.8125,3
countWithSingleStick3To5,2,0,0,0,1,170.33333333333334,0.9223300970873787,8,0,0,0,0,2,63.875,0.9223300970873787,8
dataHandlingMatrixLetterCount,2,0,0,0,1,164.5,0.6774193548387096,40,0,0,0,0,2,65.8,0.6774193548387096,40
grid4Row4Column,1,0,0,0,1,102,0.4375,27,1,63,0.5333333333333333,7,1,44.5,0.4603174603174603,34
matchMonthsWithDaysInfoPanel1,1,0,0,0,1,61,0.7894736842105263,4,1,2,0,0,1,15.75,0.7894736842105263,4
matchSecondaryShapeTiles,2,0,0,0,1,76.5,0.9795918367346939,1,0,0,0,0,2,30.6,0.9795918367346939,1
orderingExample,1,0,0,0,1,13,0.6666666666666666,1,1,3,0,0,1,4,0.6666666666666666,1
patternBasicToys,1,0,0,0,1,123,0.7558139534883721,21,1,2,0,0,1,41.333333333333336,0.7558139534883721,21
patternEatables,2,0,0,0,1,112,0.9259259259259259,4,0,0,0,0,2,44.8,0.9259259259259259,4
recognizingHeavyLightWithAudio,1,0,0,0,1,113,0.625,12,1,0,0,0,1,28.25,0.625,12
ssMultiplication6,1,0,0,0,1,29,0.9565217391304348,1,1,3,0,0,1,10.166666666666666,0.9565217391304348,1
stackMultiStick1To9,2,0,0,0,0,0,0,0,1,7,0,0,2,2.3333333333333335,0,0
additionTable3,1,0,0,0,0,0,0,0,1,260,0.4230769230769231,30,1,130,0.4230769230769231,30
additionTable4,1,0,0,0,0,0,0,0,1,6,0,0,1,3,0,0
additionTable5,1,0,0,0,0,0,0,0,1,14,1,0,1,7,1,0
beforeAndAfter20To30,1,0,0,0,0,0,0,0,1,71,0.9473684210526315,1,1,35.5,0.9473684210526315,1
between0To20,1,0,0,0,1,114.5,0.7708333333333334,11,0,0,0,0,1,57.25,0.7708333333333334,11
between1To99,1,0,0,0,1,55,0.8333333333333334,6,0,0,0,0,1,27.5,0.8333333333333334,6
convertMetreToCM,1,0,0,0,0,0,0,0,1,14,0,0,1,7,0,0
cookingSequence,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
dataHandlingIconsVehiclesUtensilsCount,1,0,0,0,1,114,0.8163265306122449,9,0,0,0,0,1,57,0.8163265306122449,9
dataHandlingMatchCountMixedColors,1,0,0,0,0,0,0,0,1,13.5,1,0,1,6.75,1,0
dataHandlingMatchCountMixedFruits,1,0,0,0,0,0,0,0,1,116,0.5357142857142857,13,1,58,0.5357142857142857,13
descendingOrderUpTo50OnlyBy5s,1,0,0,0,1,36,0.9230769230769231,2,0,0,0,0,1,18,0.9230769230769231,2
division4TableAL,1,0,0,0,1,97,0.8,5,0,0,0,0,1,48.5,0.8,5
findCountOfToys3,1,0,0,0,0,0,0,0,1,10,0,0,1,5,0,0
findNumberOfGlasses2,1,0,0,0,1,31,0.7058823529411765,5,0,0,0,0,1,15.5,0.7058823529411765,5
findTheTotalAmountPaid3,1,0,0,0,0,0,0,0,1,91,0,14,1,45.5,0,14
gorillaTable10,1,0,0,0,1,15,0.9230769230769231,1,0,0,0,0,1,7.5,0.9230769230769231,1
greaterSmaller100To499Operators,1,0,0,0,1,48,1,0,0,0,0,0,1,24,1,0
greaterSmallerUpTo99Operators,1,0,0,0,0,0,0,0,1,20,1,0,1,10,1,0
grid2Row2Column,1,0,0,0,1,31.5,0.75,4,0,0,0,0,1,15.75,0.75,4
grid3Row3Column,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
growingPattern,1,0,0,0,1,50,0.8163265306122449,9,0,0,0,0,1,25,0.8163265306122449,9
guessTheWeight1,1,0,0,0,0,0,0,0,1,36,0.5,6,1,18,0.5,6
guessTheWeightInKg2,1,0,0,0,1,44,0.9230769230769231,1,0,0,0,0,1,22,0.9230769230769231,1
identifyFoodAndToysSet1,1,0,0,0,0,0,0,0,1,26,0.8,1,1,13,0.8,1
