# ----------------------------------------
# gd-math-71c48
# Free-form-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals
matchAudioNumber1To3,6,0,0,54,9,1,227,113.5,12,11,5,460,92,30,14,6,687,42.9375,96,34
mergeAndMatchTensAndOnesUpTo50,7,0,0,90,9,0,0,0,0,0,5,837,167.4,50,5,7,837,59.785714285714285,140,14
orderUpToNineAudio,6,0,0,100,10,3,228,38,60,48,3,2399,799.6666666666666,30,17,6,2627,138.26315789473685,190,75
descendingOrdering1to999by50AL,6,0,0,45,9,3,479,79.83333333333333,30,29,2,129,64.5,10,2,6,608,35.76470588235294,85,40
introducingZero,6,0,0,6,6,5,60,12,5,5,0,0,0,0,0,6,60,5.454545454545454,11,11
matchFractionWithImage4AL,5,0,0,50,10,5,563,62.55555555555556,45,45,1,19,19,5,2,5,582,29.1,100,57
understandingMorningAndEveningActivity,6,0,0,120,12,3,167,20.875,80,59,2,26,13,20,2,6,193,8.772727272727273,220,73
additionWithZeroUpTo9,6,0,0,100,10,2,114,38,30,27,2,168,56,30,7,6,282,17.625,160,44
between0To20Transition,5,0,0,65,13,4,620,56.36363636363637,55,51,1,3,3,5,1,5,623,24.92,125,65
dataHandling1DWithTextData,5,0,0,80,8,3,651,130.2,50,48,2,96,48,20,5,5,747,49.8,150,61
greaterSmallerUpTo999OperatorsAL,5,0,0,35,7,2,208,69.33333333333333,15,15,3,96,32,15,9,5,304,23.384615384615383,65,31
introducingMerge1With1,5,0,0,5,5,5,70,14,5,5,0,0,0,0,0,5,70,7,10,10
matchDaysWithWeekMonthYear,5,0,0,20,10,5,175,17.5,20,14,0,0,0,0,0,5,175,8.75,40,24
mergeCount1To3,6,0,0,54,9,1,213,106.5,12,12,3,568,113.6,30,10,6,781,48.8125,96,31
patternBasicAnimals,6,0,0,110,11,3,494,123.5,40,37,1,91,91,10,1,6,585,36.5625,160,49
patternWithRotatedEmptyShapes,5,0,0,54,9,4,534,66.75,48,43,1,119,119,6,3,5,653,36.27777777777778,108,55
simpleIdentificationFruitsSet2,5,0,0,80,8,3,304,60.8,50,48,2,67,33.5,20,9,5,371,24.733333333333334,150,65
stackLivingAndNonLivingThings,5,0,0,100,10,4,1083,154.71428571428572,70,65,1,3,3,10,1,5,1086,60.333333333333336,180,76
vesselArrangement,5,0,0,90,9,3,433,72.16666666666667,60,49,2,166,83,20,9,5,599,35.23529411764706,170,67
identifyBirdsAndAnimalsViaAudio,4,0,0,130,13,4,497,62.125,80,68,1,97,24.25,40,13,4,594,23.76,250,94
matchObjectWithFraction1,5,0,0,100,10,3,177,25.285714285714285,70,61,1,2,2,10,1,5,179,9.944444444444445,180,72
matchToiletriesWithAudio,5,0,0,120,12,3,368,92,40,34,1,15,15,10,1,5,383,22.529411764705884,170,47
numberPattern1,5,0,0,90,9,4,321,40.125,80,61,0,0,0,0,0,5,321,18.88235294117647,170,70
orderUpToNineNumber,6,0,0,90,9,3,320,53.333333333333336,60,48,0,0,0,0,0,6,320,21.333333333333332,150,57
recognizingAquaticAnimalsWithAudio,4,0,0,160,16,2,182,60.666666666666664,30,27,3,288,41.142857142857146,70,23,4,470,18.076923076923077,260,66
simpleIdentificationAnimalsSet4,4,0,0,230,23,3,283,94.33333333333333,30,30,2,423,32.53846153846154,130,30,4,706,18.102564102564102,390,83
stackVegetablesAndFruitsSet3,5,0,0,120,12,4,1376,137.6,100,98,0,0,0,0,0,5,1376,62.54545454545455,220,110
additionTable1,4,0,0,30,5,1,559,559,6,6,3,246,82,18,8,4,805,89.44444444444444,54,19
additionTensAndOnes50,5,0,0,80,8,3,429,85.8,50,41,0,0,0,0,0,5,429,33,130,49
orderBasedOnWeightSameObject,3,0,0,280,28,3,980,40.833333333333336,240,193,2,41,20.5,20,9,3,1021,18.90740740740741,540,230
orderDays,4,0,0,54,9,2,233,116.5,12,12,2,123,41,18,6,4,356,25.428571428571427,84,27
patternWithMusicalNotes,4,0,0,60,6,1,330,165,20,19,3,120,40,30,16,4,450,40.90909090909091,110,41
stackNonLivingThingByCategory,4,0,0,96,12,3,700,116.66666666666667,48,43,1,66,33,16,2,4,766,38.3,160,57
arrangeLifeSpan,4,0,0,162,27,2,525,26.25,120,71,1,9,4.5,12,2,4,534,10.89795918367347,294,100
ascendingOrderFrom1To99,4,0,0,30,5,1,170,85,12,9,2,60,30,12,3,4,230,25.555555555555557,54,17
fillSlotWithFoodFraction7,4,0,0,160,16,3,1222,87.28571428571429,140,117,0,0,0,0,0,4,1222,40.733333333333334,300,133
rotateObject1,3,0,0,66,11,3,707,88.375,48,41,1,121,121,6,6,3,828,41.4,120,58
stackColorTilesOne,3,0,0,70,7,3,381,63.5,60,60,1,5,5,10,1,3,386,27.571428571428573,140,68
beforeAfterOfMonths,3,0,0,24,4,1,147,147,6,5,2,69,34.5,12,2,3,216,30.857142857142858,42,11
capitalSmallPatternText,3,0,0,60,6,3,606,101,60,53,0,0,0,0,0,3,606,50.5,120,59
countLinesGiven3,3,0,0,50,5,0,0,0,0,0,3,371,92.75,40,9,3,371,41.22222222222222,90,14
countMatchUpTo20Again,3,0,0,50,5,1,141,70.5,20,20,2,145,48.333333333333336,30,5,3,286,28.6,100,30
dataHandlingMatrixIntroSpinner,4,0,0,80,8,1,475,475,10,10,1,45,45,10,1,4,520,52,100,19
givenSmartChartScale5,4,0,0,70,7,2,262,65.5,40,36,0,0,0,0,0,4,262,23.818181818181817,110,43
matchAudio0To5Count,3,0,0,24,4,1,171,85.5,12,12,2,295,147.5,12,5,3,466,58.25,48,21
matchByOpenClosedShapes,3,0,0,60,6,3,196,32.666666666666664,60,45,0,0,0,0,0,3,196,16.333333333333332,120,51
matchCombinedCurrency1,3,0,0,16,4,1,80,40,8,8,2,95,47.5,8,4,3,175,21.875,32,16
matchMaskEffectVertical1,3,0,0,60,6,3,199,33.166666666666664,60,48,0,0,0,0,0,3,199,16.583333333333332,120,54
matchRedGreenYellowWithTiles,3,0,0,60,6,2,227,56.75,40,40,1,14,7,20,3,3,241,20.083333333333332,120,49
simpleIdentificationVegetablesSet2,3,0,0,40,4,1,224,112,20,20,2,26,13,20,6,3,250,31.25,80,30
sortBasicShapeTiles,3,0,0,60,6,2,233,58.25,40,34,1,7,3.5,20,2,3,240,20,120,42
writeLevel1To5,3,0,0,40,4,0,0,0,0,0,3,279,69.75,40,20,3,279,34.875,80,24
analyseTableData4,2,0,0,80,8,1,329,54.833333333333336,60,50,2,219,109.5,20,6,2,548,34.25,160,64
identifyEverydayObjectViaAudio,3,0,0,50,5,2,467,116.75,40,40,0,0,0,0,0,3,467,51.888888888888886,90,45
matchAudioByColorSet2,3,0,0,110,11,1,163,81.5,20,19,1,100,33.333333333333336,30,8,3,263,16.4375,160,38
matchGrayScaleEffect2,3,0,0,50,5,2,86,21.5,40,29,0,0,0,0,0,3,86,9.555555555555555,90,34
patternBasicVegetables,3,0,0,40,4,1,289,144.5,20,20,1,48,48,10,2,3,337,48.142857142857146,70,26
reviseStackObjectsBasedOnLines,3,0,0,24,4,1,98,49,12,8,1,32,32,6,1,3,130,18.571428571428573,42,13
ssMultiplication31,3,0,0,25,5,1,914,457,10,9,1,5,5,5,1,3,919,114.875,40,15
stackVegetablesAndFruitsSet2,2,0,0,130,13,1,205,51.25,40,36,2,173,34.6,50,25,2,378,17.181818181818183,220,74
writeLevelExampleIntro,2,0,0,3,3,2,13,6.5,2,2,1,4,4,1,1,2,17,2.8333333333333335,6,6
additionTable2,2,0,0,12,2,0,0,0,0,0,2,8,4,12,2,2,8,2,24,4
matchAllShapesWithTiles,2,0,0,60,6,1,613,153.25,40,38,1,124,124,10,4,2,737,67,110,48
matchCountNumber7To9,2,0,0,18,3,1,133,66.5,12,12,1,92,92,6,4,2,225,37.5,36,19
matchCountNumberRepeat1To10,2,0,0,30,3,1,57,28.5,20,17,1,34,34,10,5,2,91,15.166666666666666,60,25
matchCurrencyWithCombinedCurrency3,2,0,0,12,3,1,76,38,8,8,1,43,43,4,4,2,119,19.833333333333332,24,15
matchCurrencyWithCombinedCurrency4,2,0,0,70,7,2,312,62.4,50,44,0,0,0,0,0,2,312,26,120,51
matchFractionFullAndHalf,2,0,0,18,3,1,69,34.5,12,12,1,10,10,6,2,2,79,13.166666666666666,36,17
matchGirlsAndBoys,2,0,0,30,3,1,55,27.5,20,16,1,18,18,10,1,2,73,12.166666666666666,60,20
matchInsideOutsideThird,2,0,0,40,4,2,387,96.75,40,40,0,0,0,0,0,2,387,48.375,80,44
matchOnUnderThird,2,0,0,40,4,2,138,34.5,40,34,0,0,0,0,0,2,138,17.25,80,38
matchRotateOverall180,2,0,0,30,3,1,116,58,20,17,1,108,108,10,8,2,224,37.333333333333336,60,28
moneyComposition12And5ForNumbers,2,0,0,40,4,2,128,32,40,31,0,0,0,0,0,2,128,16,80,35
moneyCompositionForNumbersMaster,2,0,0,30,3,0,0,0,0,0,2,244,81.33333333333333,30,9,2,244,40.666666666666664,60,12
multiplication3TableAL,2,0,0,9,3,1,309,154.5,6,5,1,33,33,3,3,2,342,57,18,11
orderActivitiesBasedOnTime,2,0,0,6,2,0,0,0,0,0,2,194,97,6,4,2,194,48.5,12,6
orderBasedOnWeight,2,0,0,20,2,0,0,0,0,0,2,52,26,20,8,2,52,13,40,10
patternWithHorizontalFlip,2,0,0,20,2,0,0,0,0,0,2,98,49,20,7,2,98,24.5,40,9
sequenceGrowthCorners,2,0,0,40,4,2,67,22.333333333333332,30,21,0,0,0,0,0,2,67,9.571428571428571,70,25
simpleIdentificationVegetablesOverall,2,0,0,30,3,1,299,149.5,20,20,1,5,5,10,1,2,304,50.666666666666664,60,24
ssWithStaticBas2BXMissingUpTo9,2,0,0,12,4,2,92,23,12,12,0,0,0,0,0,2,92,11.5,24,16
stackRedAndGreenSet1,3,0,0,30,3,0,0,0,0,0,1,48,48,10,2,3,48,12,40,5
tensAndOnesAudio80To99,2,0,0,32,4,2,133,33.25,32,28,0,0,0,0,0,2,133,16.625,64,32
writeComplexLevel,2,0,0,40,4,2,48,12,40,28,0,0,0,0,0,2,48,6,80,32
between100To999Transition,1,0,0,10,2,1,60,60,5,4,1,7,7,5,1,1,67,16.75,20,7
countWithSingleStick3To5,2,0,0,30,5,1,511,170.33333333333334,18,12,0,0,0,0,0,2,511,63.875,48,17
dataHandlingMatrixLetterCount,2,0,0,30,3,1,329,164.5,20,18,0,0,0,0,0,2,329,65.8,50,21
grid4Row4Column,1,0,0,9,3,1,204,102,6,6,1,63,63,3,3,1,267,44.5,18,12
matchMonthsWithDaysInfoPanel1,1,0,0,10,2,1,61,61,5,5,1,2,2,5,1,1,63,15.75,20,8
matchSecondaryShapeTiles,2,0,0,30,3,1,153,76.5,20,20,0,0,0,0,0,2,153,30.6,50,23
orderingExample,1,0,0,2,2,1,13,13,1,1,1,3,3,1,1,1,16,4,4,4
patternBasicToys,1,0,0,30,3,1,246,123,20,20,1,2,2,10,1,1,248,41.333333333333336,60,24
patternEatables,2,0,0,30,3,1,224,112,20,20,0,0,0,0,0,2,224,44.8,50,23
recognizingHeavyLightWithAudio,1,0,0,20,2,1,113,113,10,10,1,0,0,10,1,1,113,28.25,40,13
ssMultiplication6,1,0,0,15,3,1,58,29,10,10,1,3,3,5,1,1,61,10.166666666666666,30,14
stackMultiStick1To9,2,0,0,20,2,0,0,0,0,0,1,7,7,10,1,2,7,2.3333333333333335,30,3
additionTable3,1,0,0,6,1,0,0,0,0,0,1,260,260,6,5,1,260,130,12,6
additionTable4,1,0,0,6,1,0,0,0,0,0,1,6,6,6,1,1,6,3,12,2
additionTable5,1,0,0,6,1,0,0,0,0,0,1,14,14,6,1,1,14,7,12,2
beforeAndAfter20To30,1,0,0,6,1,0,0,0,0,0,1,71,71,6,5,1,71,35.5,12,6
between0To20,1,0,0,12,2,1,229,114.5,12,12,0,0,0,0,0,1,229,57.25,24,14
between1To99,1,0,0,20,2,1,110,55,20,15,0,0,0,0,0,1,110,27.5,40,17
convertMetreToCM,1,0,0,5,1,0,0,0,0,0,1,14,14,5,1,1,14,7,10,2
cookingSequence,1,0,0,5,1,0,0,0,0,0,1,2,2,5,1,1,2,1,10,2
dataHandlingIconsVehiclesUtensilsCount,1,0,0,20,2,1,228,114,20,20,0,0,0,0,0,1,228,57,40,22
dataHandlingMatchCountMixedColors,1,0,0,20,2,0,0,0,0,0,1,27,13.5,20,3,1,27,6.75,40,5
dataHandlingMatchCountMixedFruits,1,0,0,10,1,0,0,0,0,0,1,116,116,10,8,1,116,58,20,9
descendingOrderUpTo50OnlyBy5s,1,0,0,14,2,1,72,36,14,14,0,0,0,0,0,1,72,18,28,16
division4TableAL,1,0,0,10,2,1,194,97,10,10,0,0,0,0,0,1,194,48.5,20,12
findCountOfToys3,1,0,0,5,1,0,0,0,0,0,1,10,10,5,1,1,10,5,10,2
findNumberOfGlasses2,1,0,0,10,2,1,62,31,10,8,0,0,0,0,0,1,62,15.5,20,10
findTheTotalAmountPaid3,1,0,0,5,1,0,0,0,0,0,1,91,91,5,1,1,91,45.5,10,2
gorillaTable10,1,0,0,20,2,1,30,15,20,14,0,0,0,0,0,1,30,7.5,40,16
greaterSmaller100To499Operators,1,0,0,20,2,1,96,48,20,19,0,0,0,0,0,1,96,24,40,21
greaterSmallerUpTo99Operators,1,0,0,10,1,0,0,0,0,0,1,20,20,10,3,1,20,10,20,4
grid2Row2Column,1,0,0,6,2,1,63,31.5,6,6,0,0,0,0,0,1,63,15.75,12,8
grid3Row3Column,1,0,0,3,1,0,0,0,0,0,1,2,2,3,1,1,2,1,6,2
growingPattern,1,0,0,20,2,1,100,50,20,19,0,0,0,0,0,1,100,25,40,21
guessTheWeight1,1,0,0,3,1,0,0,0,0,0,1,36,36,3,3,1,36,18,6,4
guessTheWeightInKg2,1,0,0,6,2,1,88,44,6,6,0,0,0,0,0,1,88,22,12,8
identifyFoodAndToysSet1,1,0,0,10,1,0,0,0,0,0,1,26,26,10,3,1,26,13,20,4
identifyFoodSet1ViaAudio,1,0,0,10,1,1,202,202,10,10,0,0,0,0,0,1,202,101,20,11
identifyVehiclesAndCrockeryViaAudio,1,0,0,20,2,1,237,118.5,20,19,0,0,0,0,0,1,237,59.25,40,21
introducingAudioTileInCount,1,0,0,2,2,1,12,6,2,2,0,0,0,0,0,1,12,3,4,4
introducingAudioTileInObjects,1,0,0,1,1,1,5,5,1,1,0,0,0,0,0,1,5,2.5,2,2
introducingSplitAndFill1,1,0,0,12,2,1,111,55.5,12,8,0,0,0,0,0,1,111,27.75,24,10
longVersusRoundMatch,1,0,0,10,1,0,0,0,0,0,1,16,16,10,3,1,16,8,20,4
lookAndTell1000To9999Set3,1,0,0,6,1,0,0,0,0,0,1,132,132,6,2,1,132,66,12,3
matchAllColorsByAudio,1,0,0,10,1,0,0,0,0,0,1,14,14,10,2,1,14,7,20,3
matchAnimalSet3And4,1,0,0,10,1,0,0,0,0,0,1,175,175,10,9,1,175,87.5,20,10
matchAnimalWaterInTakeInL,1,0,0,15,3,1,263,131.5,10,10,0,0,0,0,0,1,263,52.6,25,13
matchAudioCount3To5,1,0,0,6,1,0,0,0,0,0,1,24,24,6,3,1,24,12,12,4
matchAudioNumber3To5,1,0,0,6,1,0,0,0,0,0,1,2,2,6,1,1,2,1,12,2
matchAudioNumber50To70,1,0,0,20,2,1,168,168,10,9,0,0,0,0,0,1,168,56,30,11
matchAudioNumber7To9,1,0,0,36,6,1,133,66.5,12,12,0,0,0,0,0,1,133,16.625,48,18
matchAudioNumberUpTo20Again,1,0,0,20,2,1,214,107,20,17,0,0,0,0,0,1,214,53.5,40,19
matchBasicShapesViaAudio,1,0,0,20,2,1,288,144,20,20,0,0,0,0,0,1,288,72,40,22
